product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-iz-naturalnyh-kamney-gornyy-hrustal-20-razmer-1680384771/?at=XQtkZWBVKhR2Jv49cXZz8qQCxRP3BBSEMgvZ5t4gpw1r&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из натуральных камней Горный Хрусталь 20 размер,,False,411,3000.0,−86%,4.9,35.0,,WB
/product/runicheskiy-braslet-amulet-zashchity-iz-naturalnogo-ametista-i-sinteticheskogo-shungita-moshchnyy-1776972546/?at=28t0QgKP3sNXjnNZflWx9yQS3GgqmSlPVRPyt3MEkJ2&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Рунический браслет - амулет защиты из натурального аметиста и синтетического шунгита/ Мощный защитный оберег в трудных жизненных ситуациях,,False,561,1825.0,−69%,4.9,603.0,,WB
/product/braslet-iz-angelita-naturalnyy-kamen-diametr-busin-10-mm-1333440203/?at=EqtkjY1VxhPrG1W9tgYXNMOsDnwOANCRBwRwJsJvkEwo&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет из ""ангелита"", натуральный камень, диаметр бусин 10 мм",,False,1252,2950.0,−57%,4.9,36.0,,WB
/product/glubokiy-gorizont-braslet-muzhskoy-zhenskiy-iz-naturalnyh-kamney-sodalit-308022616/?at=XQtkZWBVKhV0q78wTXz30YqS2YP6oJcY3BnkQI9lq0wj&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Глубокий Горизонт - Браслет мужской / женский из натуральных камней (содалит),Sigurd,False,1564,2250.0,−30%,4.9,1008.0,,WB
/product/braslet-strelets-iz-naturalnyh-kamney-ametist-obsidian-17-19-629989550/?at=nRtrVklADT4E3Q9PsNYGy5kfqPPx09iROzlm9c8wDyJ6&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет ""Стрелец"" из натуральных камней : аметист, обсидиан 17-19",,False,731,2000.0,−63%,4.8,317.0,,WB
/product/braslet-klassika-10mm-iz-naturalnogo-kamnya-tsoizit-na-rezinke-1079691517/?at=08tYzpJqBc86vpYAFQXxBZksj5yXvkSRPNJYAhj9MOm7&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет ""Классика"" 10мм, из натурального камня Цоизит, на резинке",,False,360,2190.0,−83%,4.9,35.0,,WB
/product/braslet-zhenskiy-muzhskoy-iz-naturalnyh-kamney-flyuorit-granenyy-podarochnyy-1383177482/?at=NOtwpzVD3cWYPMOzC3XEyrNi8QxxAFyVPlK0SyL55Rp&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет женский / мужской из натуральных камней Флюорит граненый подарочный,,False,781,2300.0,−66%,4.7,25.0,,WB
/product/braslet-iz-kamney-1703594777/?at=PjtJnPv8Xc6ERpZOCAzl4DAhk2DmlKsgWV2OntL2Rvp7&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из камней,,False,222,1520.0,−85%,5.0,5.0,,WB
/product/braslet-klassika-10mm-iz-naturalnogo-kamnya-ametist-na-rezinke-1146009973/?at=pZtpZ7Q1oT05VZDluVKPjo9FOmJ46mIVLQkyZSPn10Zy&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет ""Классика"" 10мм, из натурального камня Аметист, на резинке",,False,360,2190.0,−83%,4.8,53.0,,WB
/product/braslet-iz-naturalnyh-kamney-8-mm-tigrovyy-glaz-raznotsvetnyy-1404826902/?at=lRt6ljO0EI1OJ9zkhjj53rETEzwJk5Svmom4vip6xJQk&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из натуральных камней 8 мм. Тигровый глаз разноцветный,,False,643,1330.0,−51%,4.9,1035.0,,WB
