product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-dlya-kozeroga-iz-chernogo-oniksa-braslet-iz-naturalnyh-kamney-1553212775/?at=OgtEkM5zxsrO5W25uO6NG75tVLGB2AiQVWN8ZUR6kR6j&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет для Козерога из чёрного Оникса / Браслет из натуральных камней,,False,1425,6890.0,−79%,4.9,535.0,,YDX
/product/braslet-uniseks-iz-opala-naturalnyy-kamen-diametr-busin-v-vide-shara-8-mm-dlina-izdeliya-16-18-1628039669/?at=z6tOz78QqcwnE7E9T8B1ZEls9mpn8khAQ1QroIL469m1&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет унисекс из Опала натуральный камень диаметр бусин в виде шара 8 мм. длина изделия 16 - 18 см. оригинальный подарок на день рождения,,False,525,1400.0,−62%,4.9,473.0,,YDX
/product/braslet-iz-naturalnyh-kamney-zhenskiy-rozovyy-kvarts-1724180216/?at=GRt296WK4iKMZMV8CL70w1phzOxxwGhvglKE3cELlzLZ&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет из натуральных камней женский, розовый кварц",,False,1019,1950.0,−47%,4.9,408.0,,YDX
/product/braslet-s-naturalnymi-kamnyami-kultivirovannyy-perlamutr-varistsit-1189578300/?at=r2t4OWwPZixEERpvU19mY2pfWgRXyLuk0ojGZfXGrDOz&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет с натуральными камнями культивированный перламутр, варисцит",,False,1285,1980.0,−35%,4.9,52.0,,YDX
/product/braslet-iz-naturalnyh-kamney-vulkanicheskaya-lava-i-shungit-1733501603/?at=RltyXxnjWFNkJRp4HJMmNrjtEwKAxkFw9wRPni4P8YrL&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из натуральных камней вулканическая лава и шунгит,,False,824,3100.0,−73%,4.9,132.0,,YDX
/product/braslet-iz-naturalnogo-yantarya-s-gematitom-avtorskoe-yantarnoe-ukrashenie-ruchnoy-raboty-1760918964/?at=08tYzpJqBcO3NNjNcE98160hxzYmXMfyPRK5kiD6wDmZ&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из натурального янтаря с гематитом. Авторское янтарное украшение ручной работы,BALTAMBER,False,1751,3060.0,−42%,,,,YDX
/product/braslet-iz-lunnogo-kamnya-braslet-iz-opalita-lunnyy-kamen-opalit-zhenskiy-braslet-iz-kamnya-796460586/?at=x6tPjzmnvsRN3KXt7qZVGDuo6BXK1FYM12GrUZ6zPnG&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет из лунного камня / браслет из опалита / лунный камень / опалит / женский браслет из камня,,False,306,2000.0,−84%,4.8,1322.0,,YDX
/product/braslet-zhenskiy-iz-busin-naturalnyh-kamney-raznotsvetnyy-turmalin-1624921941/?at=36tWvO76KsXyrqy5iQ7z9v9UA40zYZCEYN27nIGnnZOX&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,Браслет женский из бусин натуральных камней разноцветный турмалин,,False,560,1260.0,−55%,4.9,1219.0,,YDX
/product/puzzle-jewelry-braslet-parnyy-1454551576/?at=x6tPjzmnvsV9RZNBiXlRnR2uoRVJkBHQk2RKFZY3r9r&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,PUZZLE JEWELRY Браслет парный,,False,1893,3241.0,−41%,4.9,105.0,,YDX
/product/braslet-s-gravirovkoy-s-nadpisyu-ya-vsegda-ryadom-s-toboy-v-podarok-lyubimoy-lyubimomu-1716091483/?at=jYtZ0VlKmS9n3WRVTxXNprXTZWAy8WCwLVOYgf09K9Y5&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC%D0%B8+%D0%BA%D0%B0%D0%BC%D0%BD%D1%8F%D0%BC%D0%B8,"Браслет с гравировкой с надписью Я всегда рядом с тобой, в подарок любимой, любимому",,False,597,3000.0,−80%,4.9,186.0,,YDX
