product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-na-nogu-jewelry-a-vento-zhenskiy-iz-lazurita-zhemchug-naturalnyy-dlina-20-sm-1665632251/?at=nRtrVkG10tzWMPPwT3XlWx3tJgqWvpfnjlgozfZ7XgLG&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет на ногу Jewelry a vento женский, из лазурита, жемчуг натуральный, длина 20 см.",,False,3084.0,4455.0,−30%,5.0,27.0,,SL
/product/braslet-zhenskiy-na-nogu-iz-naturalnyh-kamney-celeb-zhemchug-ukrashenie-anklet-na-lodyzhku-v-1438832748/?at=57tw120zmcmQ7jZfn28DL5ckK4kXI9221pJFRzMMQL&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет женский на ногу из натуральных камней Celeb жемчуг, украшение анклет на лодыжку в подарок девушке",,False,2036.0,6169.0,−66%,5.0,35.0,,SL
/product/braslet-na-nogu-jewelry-a-vento-zhenskiy-iz-zhemchuga-naturalnogo-klassa-aa-dlina-22-sm-1674997557/?at=K8tZk6qYgh7v3OYNF5QjK5mt1onkAxFn8PvKvUWPBOG5&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет на ногу Jewelry a vento женский, из жемчуга натурального класса АА, длина 22 см.",,False,3519.0,6940.0,−49%,5.0,27.0,,SL
/product/braslet-na-nogu-jewelry-a-vento-iz-tsitrina-i-zhemchuga-naturalnogo-dlina-26-sm-1674991200/?at=w0tgn2L4MhX6Q4JxU0LKoL0h9ML3NVtA5yopMf31Ogpy&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет на ногу Jewelry a vento из цитрина и жемчуга натурального, длина 26 см.",,False,3500.0,5690.0,−38%,5.0,27.0,,SL
/product/braslet-zhenskiy-na-nogu-iz-naturalnyh-kamney-celeb-zhemchug-ukrashenie-anklet-na-lodyzhku-v-1438832748/?at=WPtN8VjQ7so684y6fM2BDEuEV51n0hW6j5nqH9P9Yj9&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет женский на ногу из натуральных камней Celeb жемчуг, украшение анклет на лодыжку в подарок девушке",,False,2036.0,6169.0,−66%,5.0,35.0,,SL
/product/braslet-na-nogu-s-serdechkami-akvamarin-kvarts-kultivirovannyy-zhemchug-1531561381/?at=ywtA3pNQvsZnlkDETK6jXzrT83YBNGCm93yyyFGzyqLo&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет на ногу с сердечками: аквамарин, кварц, культивированный жемчуг",,False,1185.0,2500.0,−52%,5.0,2.0,,SL
/product/dvoynoy-braslet-na-nogu-cherez-lyubov-iz-naturalnogo-zhemchuga-i-podveskoy-serdechkom-iz-1326377696/?at=Z8tXY0MwZhw4qwrpt2qnRQ5s6AOyvWFpj50YYcgLv5VN&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Двойной браслет на ногу ""Через любовь"" из натурального жемчуга и подвеской сердечком из перламутра на позолоченной цепочке, INAYA (ИНАЯ)",,False,4426.0,9900.0,−55%,1.0,1.0,,SL
/product/braslet-na-nogu-kamney-aura-zhemchug-mayorka-anklet-v-podarok-devushke-1825805482/?at=EqtkjYWzrFyKp7PrCm5DM2mUjwLXVXCqX6D0mtJKDZ0D&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет на ногу камней Aura жемчуг майорка, анклет в подарок девушке",,False,639.0,2079.0,−69%,,,,SL
/product/braslet-na-nogu-s-rakushkami-ametist-gematit-kultivirovannyy-zhemchug-1578643265/?at=DqtDZyBW2unMPOGOf3JMKxEcWGBAv0IzGnPYqUkl1LrR&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,"Браслет на ногу с ракушками: аметист, гематит, культивированный жемчуг",,False,1185.0,2400.0,−50%,5.0,2.0,,SL
/product/anklet-iz-naturalnyh-kamney-illusion-hrizolit-i-zhemchug-1618945862/?at=08tYzp29Oc4ggvMXt3onq9wcM9lBXzHN0nKEgsJ4jEL4&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Анклет из натуральных камней Illusion хризолит и жемчуг,,False,1332.0,2749.0,−51%,4.7,43.0,,SL
