product_url,product_name,brand,is_original,final_price,old_price,discount,rating,reviews_count,delivery_time,market
/product/braslet-1801218211/?at=36tWvOmP1T88MM7XCK45Aq2Uz2oPK6sz9vqMltw9Drxg&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет,,False,268.0,848.0,−68%,,,,WB
/product/braslet-pilgrim-292320202-kollektsiya-indiana-1376627811/?at=57tw120zmc2Bowp4to44B86slVQBmPSDJ1Nq6Ul6x41P&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет PILGRIM 292320202 коллекция INDIANA,,False,2721.0,,,,,,WB
/product/braslet-zhenskiy-polimernaya-glina-1800607971/?at=ywtA3pNQvsqE17O5TXxK38YTrBYrKNTBWpGv6c583m1q&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет женский / полимерная глина,,False,1258.0,2900.0,−56%,,,,WB
/product/braslet-1886585208/?at=Vvtz8YlEriool8Npf55lWGzSDmqQRLtgD36gU52BqOV&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет,,False,294.0,310.0,−5%,,,,WB
/product/likoe-braslet-iz-kamney-1863435949/?at=WPtN8VjQ7sz1MzoXI3PW6EZuoYKqxgt0Z6vRLt2WXGEj&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,LIKOE Браслет из камней,,False,2668.0,4000.0,−33%,,,,WB
/product/braslet-1784922047/?at=gpt4JDljXCY1V2YgiXrk2ONT1B7PNPHWZXW14u3ZYZr1&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет,,False,946.0,1900.0,−50%,,,,WB
/product/braslet-strekoza-collection-iz-lazurita-s-tremya-zhemchuzhinami-1417286408/?at=6WtZJqog2hgpNmEGtv96jKjHW83P3xTAJPnMKc826pk1&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет STREKOZA COLLECTION из лазурита с тремя жемчужинами,,False,3121.0,6630.0,−52%,5.0,68.0,,WB
/product/braslet-gentle-sparkle-iz-naturalnyh-kamney-1559077592/?at=28t0Qgk4qhLryRkjSBAnRgpIl43LF9PR3Ext04vxD&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет GENTLE SPARKLE из натуральных камней,,False,2203.0,3999.0,−44%,5.0,2.0,,WB
/product/braslet-tsepochka-1693336205/?at=nRtrVkG10tZA9RyKSWlj0VmHDMXL9VcjzAOPDSOLmDP1&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет цепочка,,False,368.0,660.0,−44%,,,,WB
/product/braslet-tsepochka-1899508713/?at=36tWvOmP1TXXV2gzf0DnzKmtYxm1BYuJovpW5txkJY24&keywords=%D0%B1%D1%80%D0%B0%D1%81%D0%BB%D0%B5%D1%82+%D1%81+%D0%BD%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%BC+%D0%B6%D0%B5%D0%BC%D1%87%D1%83%D0%B3%D0%BE%D0%BC,Браслет цепочка,,False,385.0,691.0,−44%,,,,WB
